timestamp,avg,qty
1574975400,4,1
1574980800,5,1
1574981100,4,2
1574981700,5,1
1574986200,4,3
1574991000,5,3
1574991600,4,3
1574991900,5,3
1575007200,4,2
1575010800,5,1
1575042000,3,1
1575047700,2,1
1575055200,5,1
1575071700,3,2
1575084600,5,2
1575105300,4,1
1575115800,5,1
1575126300,4,1
1575129900,5,1
1575153300,4,2
1575153600,5,4
1575153900,4,3
1575156900,5,2
1575157200,4,3
1575157500,5,1
1575162900,4,1
1575168300,1,1
1575179400,2,2
1575181200,3,1
1575187500,4,3
1575188100,3,4
1575188400,4,3
1575190200,3,1
1575190500,4,2
1575190800,3,1
1575194700,5,1
1575219900,4,2
1575221400,3,2
1575225900,4,3
1575230700,5,2
1575235800,4,2
1575237300,3,4
1575240600,4,5
1575242700,3,5
1575249000,5,1
1575259200,4,1
1575263100,3,1
1575263400,4,1
1575264000,3,1
1575264300,4,1
1575264600,3,1
1575266400,5,1
1575279000,3,1
1575282600,5,1
1575309600,4,3
1575309900,3,2
1575310200,4,3
1575311100,3,2
1575311400,2,1
1575311700,3,2
1575312000,2,1
1575313200,5,1
1575315000,4,2
1575315300,5,1
1575315600,4,2
1575317100,3,1
1575319200,5,3
1575342600,4,3
1575346200,5,1
1575362400,4,1
1575369900,5,1
1575379200,4,12
1575382800,3,1
1575390000,4,1
1575393600,5,3
1575400800,4,2
1575411900,15,1
1575414000,7,102
1575417600,15,1
1575437700,8,2
1575438300,15,1
1575438900,8,2
1575439200,2,1
1575441000,15,1
1575442500,9,2
1575444000,7,3
1575444300,9,2
1575444600,4,2
1575446700,15,1
1575505500,7,54
1575506100,15,3
1575506400,7,54
1575509100,15,2
1575509400,7,54
1575510000,15,2
1575590700,5,1
1575593100,8,3
1575593700,5,2
1575594000,8,3
1575594300,10,2
1575596400,11,3
1575597000,12,4
1575598800,15,3
1575605700,4,1
1575607200,9,2
1575607800,15,1
1575608100,9,2
1575608400,15,1
1575608700,9,2
1575609000,15,1
1575613500,5,1
1575619500,15,1
1575651900,10,2
1575652800,5,1
1575653400,10,2
1575653700,5,1
1575664500,15,1
1575675900,10,2
1575676200,15,1
1575676500,10,2
1575676800,5,2
1575677100,10,2
1575677700,5,2
1575680100,15,1
1575709500,13,1
1575725700,12,2
1575726300,13,3
1575726600,12,2
1575726900,13,3
1575727200,12,2
1575727500,13,3
1575729300,12,2
1575729600,13,3
1575729900,9,1
1575730500,12,2
1575731100,9,2
1575736200,12,2
1575736500,9,1
1575736800,12,2
1575737400,15,2
1575760800,7,3
1575761100,4,2
1575761400,7,3
1575761700,4,2
1575764700,15,1
1575791100,3,1
1575795900,4,1
1575807300,2,3
1575810600,4,1
1575813300,5,1
1575813900,4,2
1575814200,5,2
1575818400,15,5
1575842100,2,3
1575847200,4,2
1575853200,3,4
1575856500,4,1
1575860700,9,2
1575861000,4,1
1575861300,9,2
1575861900,12,4
1575862200,9,2
1575862500,12,4
1575862800,15,3
1575863100,12,4
1575863700,15,3
1575917400,30,1
1575942900,21,3
1575944400,4,1
1575944700,21,3
1575945000,4,1
1575955500,5,1
1575961200,30,2
1575990900,40,1
1576008000,21,2
1576008300,40,2
1576008900,21,2
1576010100,3,1
1576010400,21,2
1576010700,4,1
1576011000,3,1
1576011300,4,1
1576016700,5,3
1576020000,40,1
1576027200,26,4
1576029000,14,5
1576030800,4,3
1576031100,14,5
1576031700,4,3
1576035300,5,2
1576042500,3,1
1576051800,5,1
1576052700,10,2
1576053000,5,1
1576053300,10,2
1576056000,15,1
1576082100,14,4
1576082700,15,2
1576083000,14,4
1576083900,13,2
1576084500,14,3
1576084800,13,2
1576085400,15,1
1576101000,9,2
1576101600,15,1
1576101900,9,2
1576102200,3,2
1576102500,9,2
1576102800,3,5
1576110600,15,1
1576128300,3,1
1576133700,4,4
1576135500,5,2
1576136100,4,3
1576136400,5,2
1576144500,15,3
1576145700,20,3
1576153800,17,2
1576155000,18,3
1576155300,17,2
1576155900,18,3
1576158000,20,1
1576169400,30,2
1576170300,20,2
1576170600,30,2
1576171200,40,1
1576174500,4,1
1576183500,16,3
1576183800,4,2
1576184100,16,3
1576185900,40,1
1576186200,16,3
1576186800,40,1
1576187100,5,1
1576187400,40,1
1576187700,5,1
1576199700,18,1
1576201500,14,4
1576202100,18,3
1576202400,14,4
1576204200,13,3
1576204800,5,2
1576216800,4,4
1576220100,3,4
1576231500,4,1
1576234800,5,2
1576246200,4,6
1576246800,5,1
1576247100,4,6
1576253700,5,2
1576264500,18,1
1576284600,10,2
1576285800,3,1
1576293300,40,1
1576305900,4,1
1576312500,5,1
1576323600,40,1
1576335300,4,1
